"국가(대륙)별","상품군별","판매유형별",2014 1/4,2014 2/4,2014 3/4,2014 4/4,2015 1/4,2015 2/4,2015 3/4,2015 4/4,2016 1/4,2016 2/4,2016 3/4,2016 4/4,2017 1/4,2017 2/4,2017 3/4,2017 4/4,2018 1/4,2018 2/4,2018 3/4,2018 4/4,2019 1/4,2019 2/4,2019 3/4,2019 4/4,2020 1/4 p)
"기타","합계","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,6478,5601,23108,6384,9097,8004,8920,10120,10016,11187,7800,11759,9541
"기타","컴퓨터 및 주변기기","계",1010,814,651,596,412,388,521,549,518,327,248,361,297,187,214,177,1509,1113,1474,1308,1146,1330,1190,1385,1689
"기타","컴퓨터 및 주변기기","면세점",-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,0,0,0,60,0,0,0,0,113
"기타","컴퓨터 및 주변기기","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,296,186,214,177,1509,1113,1474,1248,1146,1330,1190,1385,1576
"기타","가전·전자·통신기기","계",2484,2503,2269,1834,1462,1889,1406,1589,1771,2100,2022,2038,2314,2190,1955,912,1135,1014,1236,485,568,816,975,1325,914
"기타","가전·전자·통신기기","면세점",-,-,-,-,-,-,-,-,-,-,-,-,1420,1396,113,272,540,599,784,100,150,420,633,856,525
"기타","가전·전자·통신기기","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,894,794,1842,640,595,415,452,385,418,396,342,469,389
"기타","소프트웨어","계",71,46,39,65,77,60,88,65,73,34,8,5,6,3,5,34,9,46,41,6,5,9,4,11,8
"기타","소프트웨어","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"기타","소프트웨어","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,6,3,5,34,9,46,41,6,5,9,4,11,8
"기타","서 적","계",146,110,154,125,136,126,168,273,125,186,144,194,243,136,579,890,1165,1112,1508,1349,1031,1615,720,1218,1362
"기타","서 적","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"기타","서 적","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,243,136,579,890,1165,1112,1508,1349,1031,1615,720,1218,1362
